,transaction_date,ticker,asset_description,type,amount,representative
63,2021-01-11,TMUS,T-Mobile USA,purchase,"$1,001 - $15,000",Alan S. Lowenthal
64,2020-07-02,COST,Costco Wholesale Corp,purchase,"$1,001 - $15,000",Robert J. Wittman
65,2020-07-02,CCI,Crown Castle International Corp,purchase,"$1,001 - $15,000",Robert J. Wittman
66,2020-07-02,CVS,CVS Health Corporation,sale_full,"$1,001 - $15,000",Robert J. Wittman
67,2020-07-02,DUK,Duke Energy Corp,sale_full,"$1,001 - $15,000",Robert J. Wittman
68,2020-07-02,HD,Home Depot,purchase,"$1,001 - $15,000",Robert J. Wittman
69,2020-07-02,KMB,Kimberly-Clark Corp,purchase,"$1,001 - $15,000",Robert J. Wittman
70,2020-07-02,RGLD,Royal Gold Inc,purchase,"$1,001 - $15,000",Robert J. Wittman
71,2020-07-02,V,Visa Inc,purchase,"$1,001 - $15,000",Robert J. Wittman
72,2021-01-14,--,Oregon State Health and Science University,purchase,"$15,001 - $50,000",Vern Buchanan
73,2021-01-21,CI,Cigna Corporation,sale_partial,"$1,001 - $15,000",Lois Frankel
74,2021-02-10,CL,Colgate-Palmolive Company,purchase,"$1,001 - $15,000",Lois Frankel
75,2021-01-28,CL,Colgate-Palmolive Company,purchase,"$1,001 - $15,000",Lois Frankel
76,2021-01-28,PPG,"PPG Industries, Inc.",sale_partial,"$1,001 - $15,000",Lois Frankel
77,2021-02-10,TRV,"The Travelers Companies, Inc.",sale_partial,"$1,001 - $15,000",Lois Frankel
78,2021-01-15,FB,Facebook Inc,purchase,"$100,001 - $250,000",Michael T. McCaul
79,2021-01-27,--,Conn St Hsg Fin Auth Hsh Mtg F,purchase,"$100,001 - $250,000",Michael T. McCaul
80,2021-01-08,--,Indiana Bd Bk Rev,purchase,"$100,001 - $250,000",Michael T. McCaul
81,2021-01-14,FMS,Fresenius Med Care Ag,purchase,"$50,001 - $100,000",Michael T. McCaul
82,2021-01-14,ACGL,Arch Cap Group Ltd,purchase,"$15,001 - $50,000",Michael T. McCaul
83,2021-01-13,ACGL,Arch Cap Group Ltd,purchase,"$1,001 - $15,000",Michael T. McCaul
84,2021-01-05,--,Triborough Brdg & Tunl Auth N,sale_full,"$1,001 - $15,000",Michael T. McCaul
85,2021-01-05,--,Triborough Brdg & Tunl Auth N,sale_full,"$1,001 - $15,000",Michael T. McCaul
86,2021-01-04,--,Purdue Uiv Ind Univ Revs,sale_full,"$1,001 - $15,000",Michael T. McCaul
87,2021-01-04,--,Oregon St Hsg & Cmnty Svcs Dep,sale_full,"$1,001 - $15,000",Michael T. McCaul
88,2021-01-14,BKNG,Booking Hldgs Inc,sale_full,"$1,001 - $15,000",Michael T. McCaul
89,2021-01-15,--,Massachusetts St Hsg & Cmnty Svcs Dep,sale_full,"$1,001 - $15,000",Michael T. McCaul
90,2021-01-12,CB,Chubb Ltd,sale_full,"$1,001 - $15,000",Michael T. McCaul
91,2021-01-27,HON,Honeywell Intl Inc,sale_full,"$15,001 - $50,000",Michael T. McCaul
92,2021-01-25,PCAR,Paccar Inc,sale_full,"$15,001 - $50,000",Michael T. McCaul
93,2021-01-06,PAG,"Pensake Automotive Group, Inc.",sale_full,"$15,001 - $50,000",Michael T. McCaul
94,2021-01-04,--,Virginia College Bldg Auth Va,sale_full,"$50,001 - $100,000",Michael T. McCaul
95,2021-01-12,ACN,Accenture Plc,sale_full,"$50,001 - $100,000",Michael T. McCaul
96,2021-01-06,--,Indiana Bd Bk Rev,sale_full,"$100,001 - $250,000",Michael T. McCaul
97,2021-01-08,--,Indiana Bd Bk Rev,sale_full,"$100,001 - $250,000",Michael T. McCaul
98,2021-01-12,--,Mesa Arizona,sale_full,"$100,001 - $250,000",Michael T. McCaul
99,2021-01-11,--,West Fargo N D,sale_full,"$100,001 - $250,000",Michael T. McCaul
100,2021-01-05,--,Fulton Cnty Ga Wtr & Sew Rev,sale_full,"$100,001 - $250,000",Michael T. McCaul
101,2021-01-15,--,Noblesville Ind Multi Sch Bldg,sale_full,"$250,001 - $500,000",Michael T. McCaul
102,2021-01-20,C,Citigroup Inc,purchase,"$100,001 - $250,000",Michael T. McCaul
103,2021-01-20,NFG,National Fuel Gas Company,purchase,"$50,001 - $100,000",Michael T. McCaul
104,2021-01-19,NFG,National Fuel Gas Company,purchase,"$15,001 - $50,000",Michael T. McCaul
105,2021-01-21,NFG,National Fuel Gas Company,purchase,"$1,001 - $15,000",Michael T. McCaul
106,2021-01-29,LUMN,Centurylink Inc,sale_full,"$50,001 - $100,000",Michael T. McCaul
107,2021-01-04,BKR,"Baker Hughes, a GE company",sale_full,"$100,001 - $250,000",Michael T. McCaul
108,2021-01-19,SWK,Stanley Black & Decker Inc,sale_full,"$100,001 - $250,000",Michael T. McCaul
109,2021-01-20,MS,Morgan Stanley,sale_full,"$100,001 - $250,000",Michael T. McCaul
110,2021-01-27,--,Conn St Hsg Fin Auth Hsg Mtg F,purchase,"$100,001 - $250,000",Michael T. McCaul
111,2021-01-08,--,Indiana Bd Bk Rev,purchase,"$100,001 - $250,000",Michael T. McCaul
112,2021-01-15,FB,Facebook Inc,purchase,"$100,001 - $250,000",Michael T. McCaul
113,2021-01-14,FMS,Fresenius Med Care Ag,purchase,"$50,001 - $100,000",Michael T. McCaul
114,2021-01-14,ACGL,Arch Cap Group Ltd,purchase,"$15,001 - $50,000",Michael T. McCaul
115,2021-01-13,ACGL,Arch Cap Group Ltd,purchase,"$15,001 - $50,000",Michael T. McCaul
116,2021-01-05,--,Triborough Brdg & Tunl Auth N,sale_full,"$1,001 - $15,000",Michael T. McCaul
117,2021-01-05,--,Triborough Brdg & Tunl Auth N,sale_full,"$1,001 - $15,000",Michael T. McCaul
118,2021-01-04,--,Purdue Univ Ind Univ Revs,sale_full,"$1,001 - $15,000",Michael T. McCaul
119,2021-01-04,--,Oregon St Hsg & Cmnty Svcs Dep,sale_full,"$1,001 - $15,000",Michael T. McCaul
120,2021-01-15,--,Massachusetts St Hsg Fin Agy H,sale_full,"$1,001 - $15,000",Michael T. McCaul
121,2021-01-14,BKNG,Booking Hldgs Inc,sale_full,"$15,001 - $50,000",Michael T. McCaul
122,2021-01-12,CB,Chubb Ltd,sale_full,"$15,001 - $50,000",Michael T. McCaul
123,2021-01-27,HON,Honeywell Intl Inc,sale_full,"$15,001 - $50,000",Michael T. McCaul
124,2021-01-25,PCAR,Paccar Inc,sale_full,"$15,001 - $50,000",Michael T. McCaul
125,2021-01-06,PAG,"Penske Automotive Group, Inc.",sale_full,"$50,001 - $100,000",Michael T. McCaul
126,2021-01-04,--,Virginia College Bldg Auth Va,sale_full,"$50,001 - $100,000",Michael T. McCaul
127,2021-01-12,ACN,Accenture Plc,sale_full,"$50,001 - $100,000",Michael T. McCaul
128,2021-01-06,--,Indiana Bd Bk Rev,sale_full,"$100,001 - $250,000",Michael T. McCaul
129,2021-01-08,--,Indiana Bd Bk Rev,sale_full,"$100,001 - $250,000",Michael T. McCaul
130,2021-01-12,--,Mesa Ariz,sale_full,"$100,001 - $250,000",Michael T. McCaul
131,2021-01-11,--,West Fargo N D,sale_full,"$100,001 - $250,000",Michael T. McCaul
132,2021-01-05,--,Fulton Cnty Ga Wtr & Sew Rev,sale_full,"$100,001 - $250,000",Michael T. McCaul
133,2021-01-15,--,Noblesville Ind Multi Sch Bldg,sale_full,"$250,001 - $500,000",Michael T. McCaul
134,2021-01-20,C,Citigroup Inc,purchase,"$15,001 - $50,000",Michael T. McCaul
135,2021-01-20,NFG,National Fuel Gas Company,purchase,"$15,001 - $50,000",Michael T. McCaul
136,2021-01-19,NFG,National Fuel Gas Company,purchase,"$1,001 - $15,000",Michael T. McCaul
137,2021-01-21,NFG,National Fuel Gas Company,purchase,"$1,001 - $15,000",Michael T. McCaul
138,2021-01-29,LUMN,Centurylink Inc,sale_full,"$15,001 - $50,000",Michael T. McCaul
139,2021-01-04,BKR,"Baker Hughes, a GE company",sale_full,"$15,001 - $50,000",Michael T. McCaul
140,2021-01-19,SWK,Stanley Black & Decker Inc,sale_full,"$15,001 - $50,000",Michael T. McCaul
141,2021-01-20,MS,Morgan Stanley,sale_full,"$15,001 - $50,000",Michael T. McCaul
142,2021-01-20,SFE,Safeguard Scientific Inc,sale_full,"$1,001 - $15,000",Michael T. McCaul
143,2021-01-19,SFE,Safeguard Scientific Inc,sale_full,"$1,001 - $15,000",Michael T. McCaul
144,2021-01-22,SFE,Safeguard Scientific Inc,sale_full,"$1,001 - $15,000",Michael T. McCaul
145,2021-01-26,SFE,Safeguard Scientific Inc,sale_full,"$1,001 - $15,000",Michael T. McCaul
146,2021-01-14,SFE,Safeguard Scientific Inc,sale_full,"$1,001 - $15,000",Michael T. McCaul
147,2021-01-20,SFE,Safeguard Scientific Inc,sale_full,"$1,001 - $15,000",Michael T. McCaul
148,2021-01-19,SFE,Safeguard Scientific Inc,sale_full,"$1,001 - $15,000",Michael T. McCaul
149,2021-01-22,SFE,Safeguard Scientific Inc,sale_full,"$1,001 - $15,000",Michael T. McCaul
150,2021-01-26,SFE,Safeguard Scientific Inc,sale_full,"$1,001 - $15,000",Michael T. McCaul
151,2021-01-14,SFE,Safeguard Scientific Inc,sale_full,"$1,001 - $15,000",Michael T. McCaul
152,2021-01-13,GBTC,Grayscale Bitcoin Trust,purchase,"$1,001 - $15,000",Michael T. McCaul
153,2020-10-01,--,Florida HSg Fin Corp Homeowner MTg 2.15% Due 07/01/29,sale_full,"$1,001 - $15,000",Suzan K. DelBene
154,2020-09-01,--,"ID ST BlDg Auth 5%23 5.00 % Due Sep 1, 2023",sale_full,"$50,001 - $100,000",Suzan K. DelBene
155,2020-10-30,--,Michigan ST HSg Dev Auth 1.25% Due 06/01/27,purchase,"$500,001 - $1,000,000",Suzan K. DelBene
156,2020-09-30,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Suzan K. DelBene
157,2020-09-02,MSFT,Microsoft Corporation,sale_partial,"$5,000,001 - $25,000,000",Suzan K. DelBene
158,2020-10-08,--,New York NY go BDS Ser. Fiscal 2008J 5.00% Due 08/01/26,purchase,"$500,001 - $1,000,000",Suzan K. DelBene
159,2020-10-30,--,New York ST Dorm Auth ST pers Income,purchase,"$15,001 - $50,000",Suzan K. DelBene
160,2020-10-23,--,New York ST Dorm Auth ST pers Income,purchase,"$50,001 - $100,000",Suzan K. DelBene
161,2020-10-15,--,New York ST Dorm Auth ST Pers Income,purchase,"$15,001 - $50,000",Suzan K. DelBene
162,2020-10-13,--,Round Rock Tex Indpt SCH Dist 5.00% Due 08/01/25,purchase,"$15,001 - $50,000",Suzan K. DelBene
163,2020-10-23,--,Round Rock Tex Indpt SCH Dist 5.00% Due 08/01/25,purchase,"$15,001 - $50,000",Suzan K. DelBene
164,2020-09-04,--,Texas ST Tax Rev Antic NTS 4.00% Due 08/26/21,purchase,"$500,001 - $1,000,000",Suzan K. DelBene
165,2020-10-13,AMED,Amedisys Inc,sale_partial,"$1,001 - $15,000",Greg Gianforte
166,2020-10-13,ANSS,"ANSYS, Inc.",sale_partial,"$15,001 - $50,000",Greg Gianforte
167,2020-10-13,TECH,Bio-Techne Corp,sale_partial,"$1,001 - $15,000",Greg Gianforte
168,2020-10-13,CHE,Chemed Corp,sale_partial,"$1,001 - $15,000",Greg Gianforte
169,2020-10-13,CGNX,Cognex Corporation,sale_partial,"$1,001 - $15,000",Greg Gianforte
170,2020-10-13,CSGP,"CoStar Group, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte
171,2020-10-15,DORM,"Dorman Products, Inc.",sale_full,"$100,001 - $250,000",Greg Gianforte
172,2020-10-13,FAST,Fastenal Company,sale_partial,"$1,001 - $15,000",Greg Gianforte
173,2020-10-13,LOPE,"Grand Canyon Education, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte
174,2020-10-28,GWRE,"Guidewire Software, Inc.",purchase,"$100,001 - $250,000",Greg Gianforte
175,2020-10-13,JKHY,"Jack Henry & Associates, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte
176,2020-10-13,LII,"Lennox International, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte
177,2020-10-13,NEOG,Neogen Corporation,sale_partial,"$1,001 - $15,000",Greg Gianforte
178,2020-10-13,PAYC,"Paycom Software, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte
179,2020-10-13,PCTY,Paylocity Holding Corporation,sale_partial,"$1,001 - $15,000",Greg Gianforte
180,2020-10-13,PEGA,Pegasystems Inc.,sale_partial,"$1,001 - $15,000",Greg Gianforte
181,2020-10-28,PRLB,"Proto labs, Inc. Common Stock",sale_partial,"$100,001 - $250,000",Greg Gianforte
182,2020-10-13,RBA,Ritchie bros. Auctioneers Incorporated,sale_partial,"$1,001 - $15,000",Greg Gianforte
183,2020-10-13,ROL,"Rollins, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte
184,2020-10-13,TDOC,"Teladoc Health, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte
185,2020-10-13,VRSK,"Verisk Analytics, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte
186,2020-07-22,AAPL,Apple Inc.,sale_partial,"$1,001 - $15,000",Lloyd K. Smucker
187,2020-10-09,AAPL,Apple Inc.,sale_partial,"$15,001 - $50,000",Lloyd K. Smucker
188,2020-08-14,NWN,Northwest Natural Holding Company,purchase,"$1,001 - $15,000",Earl Blumenauer
189,2020-07-28,SYPR,"Sypris Solutions, Inc.",sale_full,"$1,001 - $15,000",James Comer
190,2020-08-06,WLK,Westlake Chemical Corporation,sale_full,"$1,001 - $15,000",James Comer
191,2020-08-14,DOX,Amdocs Limited - Ordinary Shares,sale_partial,"$1,001 - $15,000",Lois Frankel
192,2020-08-13,DOX,Amdocs Limited - Ordinary Shares,sale_partial,"$1,001 - $15,000",Lois Frankel
193,2020-08-13,BURL,"Burlington Stores, Inc.",purchase,"$1,001 - $15,000",Lois Frankel
194,2020-08-12,CB,Chubb Limited,purchase,"$1,001 - $15,000",Lois Frankel
195,2020-07-24,CIEN,Ciena Corporation,purchase,"$1,001 - $15,000",Lois Frankel
196,2020-07-28,D,"Dominion Energy, Inc.",purchase,"$1,001 - $15,000",Lois Frankel
197,2020-07-28,FE,FirstEnergy Corp.,sale_partial,"$1,001 - $15,000",Lois Frankel
198,2020-07-22,FE,FirstEnergy Corp.,sale_partial,"$1,001 - $15,000",Lois Frankel
199,2020-08-14,HAE,Haemonetics Corporation,purchase,"$1,001 - $15,000",Lois Frankel
200,2020-08-07,HSIC,"Henry Schein, Inc.",sale_full,"$1,001 - $15,000",Lois Frankel
201,2020-07-28,LOW,"Lowe's Companies, Inc.",purchase,"$1,001 - $15,000",Lois Frankel
202,2020-07-16,STOR,STORE Capital Corporation,sale_partial,"$1,001 - $15,000",Lois Frankel
203,2020-07-23,SYY,Sysco Corporation,sale_full,"$1,001 - $15,000",Lois Frankel
204,2020-07-24,WSO,"Watsco, Inc.",sale_partial,"$1,001 - $15,000",Lois Frankel
205,2019-10-17,ZBRA,Zebra Technologies Corporation - Class A,sale_full,"$100,001 - $250,000",James R. Langevin
206,2021-03-25,GDRX,GoodRx Holdings Inc Class A,purchase,"$100,001 - $250,000",Anthony E. Gonzalez
207,2021-03-25,NKE,Nike Inc,sale_full,"$15,001 - $50,000",Anthony E. Gonzalez
208,2021-04-07,CL,Colgate-Palmolive Company,purchase,"$1,001 - $15,000",Lois Frankel
209,2021-04-14,GS,Goldman Sachs Group Inc,sale_partial,"$1,001 - $15,000",Lois Frankel
210,2021-04-24,GS,Goldman Sachs Group Inc,sale_partial,"$1,001 - $15,000",Lois Frankel
211,2021-03-16,HES,Hess Corportation,sale_full,"$1,001 - $15,000",Lois Frankel
212,2021-04-14,MS,Morgan Stanley,purchase,"$1,001 - $15,000",Lois Frankel
213,2021-03-26,MS,Morgan Stanley,purchase,"$1,001 - $15,000",Lois Frankel
214,2021-03-19,NI,NiSource Inc,sale_full,"$1,001 - $15,000",Lois Frankel
215,2021-04-08,PPG,PPG Industries Inc,sale_partial,"$1,001 - $15,000",Lois Frankel
216,2021-03-24,PGR,Progressive Corporation,purchase,"$1,001 - $15,000",Lois Frankel
217,2021-03-17,PGR,Progressive Corporation,purchase,"$1,001 - $15,000",Lois Frankel
218,2021-03-17,SON,Sonoco Products Company,sale_partial,"$1,001 - $15,000",Lois Frankel
219,2021-03-16,SON,Sonoco Products Company,exchange,"$1,001 - $15,000",Lois Frankel
220,2021-03-18,TRV,The Travelers Companies Inc,sale_partial,"$1,001 - $15,000",Lois Frankel
221,2021-04-23,CARG,CarGurus Inc - Class A,purchase,"$1,001 - $15,000",Lois Frankel
222,2021-04-21,CARG,CarGurus Inc - Class A,sale_full,"$1,001 - $15,000",Lois Frankel
223,2021-05-07,HAE,Haemonetics Corporation,sale_full,"$1,001 - $15,000",Lois Frankel
224,2021-05-06,HAE,Haemonetics Corporation,sale_partial,"$1,001 - $15,000",Lois Frankel
225,2021-05-05,MDT,Medtronic plc Ordinary Shares,sale_partial,"$1,001 - $15,000",Lois Frankel
226,2021-04-21,MS,Morgan Stanley,purchase,"$1,001 - $15,000",Lois Frankel
227,2021-05-05,TMO,Thermo Fisher Scientific Inc,purchase,"$1,001 - $15,000",Lois Frankel
228,2020-12-11,MO,Altria Group Inc,sale_partial,"$1,001 - $15,000",Josh Gottheimer
229,2020-12-22,BRK.B,Berkshire Hathaway Class B,purchase,"$1,001 - $15,000",Josh Gottheimer
230,2020-12-02,BRKS,Brooks Automation Inc,purchase,"$1,001 - $15,000",Josh Gottheimer
231,2020-12-21,CSTL,Castle Biosciences Inc,purchase,"$1,001 - $15,000",Josh Gottheimer
232,2020-12-11,CHL,China Mobile Limited,sale_full,"$1,001 - $15,000",Josh Gottheimer
233,2020-12-02,CCMP,CMC Materials Inc,sale_full,"$1,001 - $15,000",Josh Gottheimer
234,2020-12-16,CTSH,Cognizant Tech Solutions,purchase,"$1,001 - $15,000",Josh Gottheimer
235,2020-12-03,DASTY,Dassult Systems ADR,purchase,"$1,001 - $15,000",Josh Gottheimer
236,2020-12-16,DE,Deere & Company,purchase,"$1,001 - $15,000",Josh Gottheimer
237,2020-12-24,DXCM,DexCom Inc,sale_partial,"$1,001 - $15,000",Josh Gottheimer
238,2020-12-11,FXM,Fomento Economico Mexicano,sale_partial,"$1,001 - $15,000",Josh Gottheimer
239,2020-12-09,HD,Home Depot,sale_partial,"$1,001 - $15,000",Josh Gottheimer
240,2020-12-21,ICUI,ICU Medical Inc,sale_partial,"$1,001 - $15,000",Josh Gottheimer
241,2020-12-03,IFNNY,Infineon Technologies,sale_partial,"$1,001 - $15,000",Josh Gottheimer
242,2020-12-08,MEDP,Medpace Holdings,purchase,"$1,001 - $15,000",Josh Gottheimer
243,2020-12-16,MS,Morgan Stanley,sale_partial,"$1,001 - $15,000",Josh Gottheimer
244,2020-12-21,PHR,Phreesia Inc,purchase,"$1,001 - $15,000",Josh Gottheimer
245,2020-12-11,REGN,Regeneron Pharma,sale_full,"$1,001 - $15,000",Josh Gottheimer
246,2020-12-11,CRM,Salesforce.com Inc,sale_full,"$1,001 - $15,000",Josh Gottheimer
247,2020-12-02,SITE,SiteOne Landscape Supply Inc,sale_partial,"$1,001 - $15,000",Josh Gottheimer
248,2020-12-15,UPS,United Parcel Service,purchase,"$1,001 - $15,000",Josh Gottheimer
249,2020-12-08,VCYT,Veracyte Inc,sale_partial,"$1,001 - $15,000",Josh Gottheimer
250,2020-12-14,VTRS,Viatris Inc,sale_full,"$1,001 - $15,000",Josh Gottheimer
251,2021-02-08,GOOGL,Alphabet Inc - Class A,sale_full,"$1,001 - $15,000",Katherine M. Clark
252,2021-02-08,CLNE,Clean Energy Fuels Corp,purchase,"$1,001 - $15,000",Katherine M. Clark
253,2021-02-08,CLNE,Clean Energy Fuels Corp,purchase,"$1,001 - $15,000",Katherine M. Clark
254,2021-02-08,CCEP,Coca-Cola European Partners plc Ord Shares,sale_full,"$1,001 - $15,000",Katherine M. Clark
255,2021-02-08,CCEP,Coca-Cola European Partners plc Ord Shares,sale_full,"$1,001 - $15,000",Katherine M. Clark
256,2021-02-08,HD,Home Depot Inc,sale_full,"$1,001 - $15,000",Katherine M. Clark
257,2021-02-08,HD,Home Depot Inc,sale_full,"$1,001 - $15,000",Katherine M. Clark
258,2021-02-08,SPG,Simon Property Group Inc,purchase,"$1,001 - $15,000",Katherine M. Clark
259,2021-02-08,SPG,Simon Property Group Inc,purchase,"$1,001 - $15,000",Katherine M. Clark
260,2021-02-08,STT,State Street Corporation,sale_full,"$1,001 - $15,000",Katherine M. Clark
261,2021-02-08,TSM,Taiwan Semiconductor Manuf Company,sale_full,"$1,001 - $15,000",Katherine M. Clark
262,2021-02-08,TSM,Taiwan Semiconductor Manuf Company,sale_full,"$1,001 - $15,000",Katherine M. Clark
263,2020-07-23,ACI,"Albertsons Companies, Inc. Class A",purchase,"$1,001 - $15,000",Susie Lee
264,2020-07-08,CCL,Carnival Corporation,sale_full,"$1,001 - $15,000",Susie Lee
265,2020-07-29,CBRE,CBRE Group Inc Common Stock Class A,sale_full,"$1,001 - $15,000",Susie Lee
